0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-50.69,1.55,-43.81,-87.35,13.46,-22.25,-92.14,17.64,-3.43,-87.45,14.55,11.17,-72.71,16.93,25.47
-50.72,1.6,-43.78,-87.32,13.6,-22.21,-92.13,17.65,-3.42,-87.47,14.45,11.15,-72.73,16.85,25.46
-50.73,1.63,-43.76,-87.31,13.68,-22.19,-92.13,17.65,-3.41,-87.49,14.39,11.15,-72.75,16.8,25.46
-50.75,1.64,-43.74,-87.29,13.77,-22.16,-92.13,17.65,-3.4,-87.5,14.34,11.13,-72.77,16.74,25.46
-50.78,1.66,-43.72,-87.27,13.87,-22.13,-92.13,17.66,-3.4,-87.52,14.28,11.12,-72.79,16.67,25.46
-50.79,1.64,-43.69,-87.26,13.94,-22.11,-92.13,17.66,-3.39,-87.53,14.21,11.12,-72.8,16.61,25.47
-50.81,1.62,-43.67,-87.25,14.01,-22.09,-92.13,17.64,-3.38,-87.55,14.15,11.12,-72.82,16.54,25.47
-50.83,1.6,-43.64,-87.24,14.08,-22.07,-92.14,17.63,-3.37,-87.57,14.08,11.11,-72.84,16.48,25.48
-50.83,1.57,-43.63,-87.24,14.08,-22.06,-92.15,17.6,-3.37,-87.58,14.0,11.11,-72.85,16.42,25.49
-50.83,1.53,-43.62,-87.24,14.07,-22.06,-92.17,17.55,-3.36,-87.6,13.92,11.11,-72.87,16.36,25.5
-50.83,1.49,-43.6,-87.24,14.06,-22.07,-92.18,17.52,-3.35,-87.61,13.87,11.11,-72.87,16.33,25.5
-50.84,1.45,-43.59,-87.24,14.04,-22.08,-92.19,17.49,-3.35,-87.63,13.82,11.11,-72.88,16.3,25.5
-50.83,1.43,-43.58,-87.23,14.02,-22.09,-92.19,17.44,-3.35,-87.62,13.78,11.12,-72.86,16.32,25.49
-50.84,1.42,-43.58,-87.23,14.01,-22.11,-92.21,17.4,-3.35,-87.63,13.76,11.12,-72.86,16.35,25.49
-50.84,1.4,-43.57,-87.23,13.98,-22.13,-92.23,17.35,-3.35,-87.63,13.74,11.13,-72.85,16.39,25.48
-50.85,1.4,-43.57,-87.23,14.02,-22.14,-92.24,17.36,-3.35,-87.64,13.77,11.14,-72.84,16.48,25.46
-50.85,1.4,-43.57,-87.22,14.06,-22.16,-92.24,17.37,-3.34,-87.63,13.81,11.15,-72.81,16.58,25.44
-50.88,1.42,-43.56,-87.22,14.13,-22.17,-92.24,17.4,-3.35,-87.64,13.85,11.15,-72.8,16.67,25.42
